id_x,department_code,municipal_code,latitude_municipal,longitude_municipal,id_y,latitude_departament,longitude_department
1,5,1,6.257590259,-75.61103107,5,6.702032125,-75.50455704
2,5,2,5.803728154,-75.43847353,5,6.702032125,-75.50455704
3,5,4,6.627569378,-76.08597756,5,6.702032125,-75.50455704
4,5,21,6.365534125,-75.09059702,5,6.702032125,-75.50455704
5,5,30,6.032921994,-75.7080031,5,6.702032125,-75.50455704
6,5,31,6.977788843,-74.9812393,5,6.702032125,-75.50455704
7,5,34,5.604993248,-75.94128391,5,6.702032125,-75.50455704
8,5,36,6.121430303,-75.71594966,5,6.702032125,-75.50455704
9,5,38,6.861498764,-75.358316,5,6.702032125,-75.50455704
10,5,40,7.193110778,-75.10848954,5,6.702032125,-75.50455704
11,5,42,6.535711576,-75.90426658,5,6.702032125,-75.50455704
12,5,44,6.293546613,-75.91736927,5,6.702032125,-75.50455704
13,5,45,7.86047815,-76.58236264,5,6.702032125,-75.50455704
14,5,51,8.611395262,-76.41478317,5,6.702032125,-75.50455704
15,5,55,5.708114524,-75.09469795,5,6.702032125,-75.50455704
16,5,59,6.163683758,-75.80995528,5,6.702032125,-75.50455704
17,5,79,6.443417935,-75.32924085,5,6.702032125,-75.50455704
18,5,86,6.665853953,-75.68621659,5,6.702032125,-75.50455704
19,5,88,6.358841086,-75.58973588,5,6.702032125,-75.50455704
20,5,91,5.727081285,-75.98689107,5,6.702032125,-75.50455704
21,5,93,6.185783612,-75.95649246,5,6.702032125,-75.50455704
22,5,101,5.840995666,-76.01065253,5,6.702032125,-75.50455704
23,5,107,7.111788462,-75.56223474,5,6.702032125,-75.50455704
24,5,113,6.80906489,-75.91206595,5,6.702032125,-75.50455704
25,5,120,7.665155105,-75.22369744,5,6.702032125,-75.50455704
26,5,125,6.423463639,-75.99351498,5,6.702032125,-75.50455704
27,5,129,6.054446841,-75.62642674,5,6.702032125,-75.50455704
28,5,134,7.036017478,-75.28766178,5,6.702032125,-75.50455704
29,5,138,6.814950023,-76.02689632,5,6.702032125,-75.50455704
30,5,142,6.33797388,-74.73354817,5,6.702032125,-75.50455704
31,5,145,5.555275296,-75.63082096,5,6.702032125,-75.50455704
32,5,147,7.757967437,-76.64374657,5,6.702032125,-75.50455704
33,5,148,5.978078841,-75.2635361,5,6.702032125,-75.50455704
34,5,150,6.754821442,-75.30590654,5,6.702032125,-75.50455704
35,5,154,7.867941792,-75.03501824,5,6.702032125,-75.50455704
36,5,172,7.631665644,-76.63964213,5,6.702032125,-75.50455704
37,5,190,6.550065431,-75.08254116,5,6.702032125,-75.50455704
38,5,197,6.005593074,-75.16015403,5,6.702032125,-75.50455704
39,5,206,6.376106187,-75.21785901,5,6.702032125,-75.50455704
40,5,209,6.057468678,-75.90014678,5,6.702032125,-75.50455704
41,5,212,6.351882893,-75.50075633,5,6.702032125,-75.50455704
42,5,234,6.992243782,-76.31426328,5,6.702032125,-75.50455704
43,5,237,6.492403905,-75.42227687,5,6.702032125,-75.50455704
44,5,240,6.326444922,-75.78331175,5,6.702032125,-75.50455704
45,5,250,7.704633351,-74.66427726,5,6.702032125,-75.50455704
46,5,264,6.594656004,-75.55913083,5,6.702032125,-75.50455704
47,5,266,6.154394922,-75.54686779,5,6.702032125,-75.50455704
48,5,282,5.887702934,-75.67926242,5,6.702032125,-75.50455704
49,5,284,6.691364773,-76.33199656,5,6.702032125,-75.50455704
50,5,306,6.663095863,-75.94804663,5,6.702032125,-75.50455704
51,5,308,6.379745895,-75.44795744,5,6.702032125,-75.50455704
52,5,310,6.709562839,-75.19270291,5,6.702032125,-75.50455704
53,5,313,6.123380721,-75.12763646,5,6.702032125,-75.50455704
54,5,315,6.861576325,-75.22591303,5,6.702032125,-75.50455704
55,5,318,6.266625703,-75.43730801,5,6.702032125,-75.50455704
56,5,321,6.236329826,-75.15651272,5,6.702032125,-75.50455704
57,5,347,6.214511788,-75.74971002,5,6.702032125,-75.50455704
58,5,353,5.797039002,-75.90669203,5,6.702032125,-75.50455704
59,5,360,6.179279438,-75.6142037,5,6.702032125,-75.50455704
60,5,361,7.341549718,-75.67842277,5,6.702032125,-75.50455704
61,5,364,5.574444339,-75.81842575,5,6.702032125,-75.50455704
62,5,368,5.769820536,-75.76488256,5,6.702032125,-75.50455704
63,5,376,5.992524843,-75.43086935,5,6.702032125,-75.50455704
64,5,380,6.137595883,-75.64895499,5,6.702032125,-75.50455704
65,5,390,5.746583958,-75.60220206,5,6.702032125,-75.50455704
66,5,400,5.940434685,-75.35429023,5,6.702032125,-75.50455704
67,5,411,6.723990935,-75.78300046,5,6.702032125,-75.50455704
68,5,425,6.534573585,-74.71410854,5,6.702032125,-75.50455704
69,5,440,6.18520515,-75.30487933,5,6.702032125,-75.50455704
70,5,467,5.916853903,-75.51972693,5,6.702032125,-75.50455704
71,5,475,6.828773855,-76.70861349,5,6.702032125,-75.50455704
72,5,480,7.329557848,-76.4630657,5,6.702032125,-75.50455704
73,5,483,5.581275312,-75.19457019,5,6.702032125,-75.50455704
74,5,490,8.493728551,-76.67699588,5,6.702032125,-75.50455704
75,5,495,7.983477394,-74.65844186,5,6.702032125,-75.50455704
76,5,501,6.611418083,-75.77567097,5,6.702032125,-75.50455704
77,5,541,6.232396368,-75.22350906,5,6.702032125,-75.50455704
78,5,543,7.044180058,-75.88968843,5,6.702032125,-75.50455704
79,5,576,5.80970186,-75.86076667,5,6.702032125,-75.50455704
80,5,579,6.481922267,-74.5287421,5,6.702032125,-75.50455704
81,5,585,6.126539139,-74.70317722,5,6.702032125,-75.50455704
82,5,591,5.954830151,-74.6861918,5,6.702032125,-75.50455704
83,5,604,6.997267375,-74.55865652,5,6.702032125,-75.50455704
84,5,607,6.053444254,-75.51573805,5,6.702032125,-75.50455704
85,5,615,6.150785807,-75.41076052,5,6.702032125,-75.50455704
86,5,628,6.901000506,-75.79222754,5,6.702032125,-75.50455704
87,5,631,6.138305183,-75.60880599,5,6.702032125,-75.50455704
88,5,642,5.970502334,-75.98137251,5,6.702032125,-75.50455704
89,5,647,6.918427233,-75.6657758,5,6.702032125,-75.50455704
90,5,649,6.193789659,-74.90732769,5,6.702032125,-75.50455704
91,5,652,5.840093731,-74.98176334,5,6.702032125,-75.50455704
92,5,656,6.438300409,-75.70310727,5,6.702032125,-75.50455704
93,5,658,6.823258913,-75.67770826,5,6.702032125,-75.50455704
94,5,659,8.707141583,-76.53248234,5,6.702032125,-75.50455704
95,5,660,6.024205956,-75.0076674,5,6.702032125,-75.50455704
96,5,664,6.458666308,-75.5624839,5,6.702032125,-75.50455704
97,5,665,8.37915695,-76.31664233,5,6.702032125,-75.50455704
98,5,667,6.31074453,-74.99858652,5,6.702032125,-75.50455704
99,5,670,6.466165211,-74.9450732,5,6.702032125,-75.50455704
100,5,674,6.310387522,-75.32740163,5,6.702032125,-75.50455704
101,5,679,5.878984956,-75.58330371,5,6.702032125,-75.50455704
